subject_name,subject_code,subject_map,subject_type,relationship,pred_name,pred_code,pred_map,pred_type
,A1,,language code,use,Nyaki Nyaki language,A1,WA SI50-04,language term
,A1,,people code,use,Nyaki Nyaki / Njaki Njaki people,A1,WA SI50-04,people term
,A10,,language code,use,Ngurlu language,A10,WA SH51-05,language term
,A10,,people code,use,Ngurlu people,A10,WA SH51-05,people term
,A11,,language code,use,Waljen language,A11,WA SH51-06,language term
,A11,,people code,use,Waljen people,A11,WA SH51-06,people term
,A12,,language code,use,Wangkatha / Wongatha / Wangkathaa language,A12,WA SH52-05,language term
,A13,,language code,use,Widi language,A13,WA SH50-02,language term
,A13,,people code,use,Widi people,A13,WA SH50-02,people term
,A14,,language code,use,Badimaya / Badimia language,A14,WA SH50-03,language term
,A14,,people code,use,Badimaya / Badimia people,A14,WA SH50-03,people term
,A16,,language code,use,Kuwarra / Koara language,A16,WA SH51-01,language term
,A16,,people code,use,Kuwarra / Koara people,A16,WA SH51-01,people term
,A17,,language code,use,Nyanganyatjara / Nangadadjara language,A17,WA SH51-04,language term
,A17,,people code,use,Nyanganyatjara / Nangadadjara people,A17,WA SH51-04,people term
,A18,,language code,use,Mulyara language,A18,WA SG50-10,language term
,A18,,people code,use,Mulyara people,A18,WA SG50-10,people term
,A19,,language code,use,Wardal language,A19,WA SG50-15,language term
,A19,,people code,use,Wardal people,A19,WA SG50-15,people term
,A2,,language code,use,Kalaako / Malpa language,A2,WA SI51-02,language term
,A2,,people code,use,Kalaako / Malpa people,A2,WA SI51-02,people term
,A20,,language code,use,Wilyara language,A20,WA SG51-13,language term
,A20,,people code,use,Wilyara people,A20,WA SG51-13,people term
,A21,,language code,use,Gula language,A21,WA SG51-14,language term
,A21,,people code,use,Gula people,A21,WA SG51-14,people term
,A22,,language code,use,Marawa language,A22,WA SH51-04,language term
,A22,,people code,use,Marawa people,A22,WA SH51-04,people term
,A23,,language code,use,Mangula language,A23,WA SG52-14,language term
,A23,,people code,use,Mangula people,A23,WA SG52-14,people term
,A24,,language code,use,Gurduwanga language,A24,WA SG50-07,language term
,A24,,people code,use,Gurduwanga people,A24,WA SG50-07,people term
,A25,,language code,use,Birniridjara language,A25,WA SG51-02,language term
,A25,,people code,use,Birniridjara people,A25,WA SG51-02,people term
,A26,,language code,use,Djalgandi language,A26,WA SG51-15,language term
,A26,,people code,use,Djalgandi people,A26,WA SG51-15,people term
,A27,,language code,use,Mudalga language,A27,WA SG51-15,language term
,A27,,people code,use,Mudalga people,A27,WA SG51-15,people term
,A28,,language code,use,Bunggura language,A28,WA SG52-14,language term
,A28,,people code,use,Bunggura people,A28,WA SG52-14,people term
,A29,,language code,use,Wawula language,A29,WA SG51-05,language term
,A29,,people code,use,Wawula people,A29,WA SG51-05,people term
,A3,,language code,use,Ngatjumaya / Ngatjumay / Ngatju language,A3,WA SI51-03,language term
,A3,,people code,use,Ngatjumaya / Ngatjumay / Ngatju people,A3,WA SI51-03,people term
,A30,,language code,use,Ngadawanga language,A30,WA SG50-08,language term
,A30,,people code,use,Ngadawanga people,A30,WA SG50-08,people term
,A31,,language code,use,Djuban language,A31,WA SG51-10,language term
,A31,,people code,use,Djuban people,A31,WA SG51-10,people term
,A32,,language code,use,Nakako / Wanadjara language,A32,WA SG51-10,language term
,A32,,people code,use,Nakako / Wanadjara people,A32,WA SG51-10,people term
,A33,,language code,use,Mandjindja / Mantjintjarra / Manjiljarra language,A33,WA SG52-13,language term
,A33,,people code,use,Mandjindja / Mantjintjarra / Manjiljarra people,A33,WA SG52-13,people term
,A34,,language code,use,Mangu language,A34,WA SG50-08,language term
,A34,,people code,use,Mangu people,A34,WA SG50-08,people term
,A35,,language code,use,Konin language,A35,WA SG51-05,language term
,A35,,people code,use,Konin people,A35,WA SG51-05,people term
,A36,,language code,use,Milamada language,A36,WA SG51-06,language term
,A36,,people code,use,Milamada people,A36,WA SG51-06,people term
,A37,,language code,use,Nganawongka language,A37,WA SG51-07,language term
,A37,,people code,use,Nganawongka people,A37,WA SG51-07,people term
,A38,,language code,use,Ngaanyatjarra language,A38,WA SG51-08,language term
,A38,,people code,use,Ngaanyatjarra people,A38,WA SG51-08,people term
,A38.1,,language code,use,Widjandja language,A38.1,WA SG51-08,language term
,A38.1,,people code,use,Widjandja people,A38.1,WA SG51-08,people term
,A39,,language code,use,Wajarri / Watjarri language,A39,"WA SG50-7, SG50-11",language term
,A39,,people code,use,Wajarri / Watjarri people,A39,"WA SG50-7, SG50-11",people term
,A39.1,,language code,use,Wadiwangga language,A39.1,WA SG50-03,language term
,A39.1,,people code,use,Wadiwangga people,A39.1,WA SG50-03,people term
